Year,precipitation_inches
2008,3.07
2008.083333,2.72
2008.166667,2.41
2008.25,2.49
2008.333333,3.66
2008.416667,2.61
2008.5,4.97
2008.583333,5.99
2008.666667,5.68
2008.75,11.1
2008.833333,2.27
2008.916667,0.35
2009,1.29
2009.083333,1.33
2009.166667,2.84
2009.25,5.24
2009.333333,6.45
2009.416667,5.04
2009.5,8.16
2009.583333,10.12
2009.666667,0.48
2009.75,2.71
2009.833333,2.25
2009.916667,10.06
2010,6.46
2010.083333,2.61
2010.166667,4.53
2010.25,0.7
2010.333333,3.67
2010.416667,7.94
2010.5,9.86
2010.583333,10.07
2010.666667,8.12
2010.75,0.83
2010.833333,0.3
2010.916667,2.48
2011,1.98
2011.083333,3.13
2011.166667,2.67
2011.25,2
2011.333333,0.41
2011.416667,4.37
2011.5,6.94
2011.583333,7.95
2011.666667,3.6
2011.75,1.91
2011.833333,1.4
2011.916667,0.65
2012,0.64
2012.083333,2.27
2012.166667,5.51
2012.25,1.32
2012.333333,3.06
2012.416667,9.79
2012.5,4.78
2012.583333,7.76
2012.666667,2.02
2012.75,1.06
2012.833333,2.2
2012.916667,3.56
2013,0.35
2013.083333,10.47
2013.166667,4.07
2013.25,5.56
2013.333333,2.99
2013.416667,13.32
2013.5,5.35
2013.583333,3.95
2013.666667,5.01
2013.75,1.37
2013.833333,3.52
2013.916667,2.15
2014,2.67
2014.083333,2.18
2014.166667,4.93
2014.25,5.98
2014.333333,1.49
2014.416667,3.59
2014.5,7.41
2014.583333,7.08
2014.666667,8.66
2014.75,0.95
2014.833333,4.66
2014.916667,3.39
2015,3.53
2015.083333,4.4
2015.166667,2.26
2015.25,3.67
2015.333333,1.36
2015.416667,7.69
2015.5,7.72
2015.583333,11.22
2015.666667,2.69
2015.75,18.91
2015.833333,8.3
2015.916667,3.14
2016,3.4
2016.083333,4.89
2016.166667,3.19
2016.25,2.61
2016.333333,6.66
2016.416667,3.14
2016.5,4.38
2016.583333,3.72
2016.666667,12.27
2016.75,10.48
2016.833333,0.11
2016.916667,4.78
2017,3.78
2017.083333,0.4
2017.166667,1.02
2017.25,6.22
2017.333333,3.74
2017.416667,6.47
2017.5,8.64
2017.583333,8.17
2017.666667,6.75
2017.75,3.57
2017.833333,1.6
2017.916667,2.51
2018,2.76
2018.083333,1.41
2018.166667,2.23
2018.25,4.11
2018.333333,10.62
2018.416667,4.21
2018.5,8.95
2018.583333,3.93
2018.666667,1.96
2018.75,2.3
2018.833333,5.46
2018.916667,9.75
2019,1.7
2019.083333,0.66
2019.166667,0.69
2019.25,3.02
2019.333333,1.64
2019.416667,7.44
2019.5,9.44
2019.583333,5.31
2019.666667,6.15
2019.75,3.4
2019.833333,3.43
2019.916667,6.57
2020,1.46
2020.083333,5.03
2020.166667,3.84
2020.25,8.13
2020.333333,3.64
2020.416667,5.2
2020.5,2.47
2020.583333,10.05
2020.666667,7.14
2020.75,2.13
2020.833333,2.93
2020.916667,1.72
2021,4.44
2021.083333,4.83
2021.166667,2.81
2021.25,1.31
2021.333333,3.46
2021.416667,7.2
2021.5,7.85
2021.583333,10.86
2021.666667,7.28
2021.75,4.1
2021.833333,1.22
2021.916667,3.35
